getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "FloppyTurd""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-06 21:16:00.986405-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene became target of keyboard event deferring environment: UIWindowScene: 0x101604dd0; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.floppyturd.game-default
2025-07-06 21:16:00.986423-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to SystemShellManaged
2025-07-06 21:16:00.986667-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 0; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x101604dd0; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x0; reason: UIWindowScene: 0x101604dd0: Window scene became target of keyboard environment
2025-07-06 21:16:00.987093-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.987320-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.987600-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.988683-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.990632-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:com.floppyturd.game-default  persistentID: 179BBAD8-F58B-4316-97CD-97D274D28F04
2025-07-06 21:16:00.990782-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:Application] Ignoring already applied deactivation reason: 5; deactivation reasons: 1056
2025-07-06 21:16:00.990928-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 11; deactivation reasons: 1056 -> 3104; animating application lifecycle event: 1
2025-07-06 21:16:00.991437-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x1016082c0] activating connection: mach=true listener=false peer=false name=com.apple.UIKit.KeyboardManagement.hosted
2025-07-06 21:16:00.991719-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:ViewServices] Launching as view service: NO
2025-07-06 21:16:00.992200-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:00.992238-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] AppDelegate didFinishLaunchingWithOptions STARTING
2025-07-06 21:16:00.992275-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:00.994107-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Created window with frame: {{0, 0}, {393, 852}}
2025-07-06 21:16:00.994149-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Creating GameViewController
2025-07-06 21:16:00.994272-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Created GameViewController: <GameViewController: 0x10181f800>
2025-07-06 21:16:00.996537-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Set root view controller
2025-07-06 21:16:01.008130-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x1016054f0] activating connection: mach=true listener=false peer=false name=com.apple.metal.simulator
2025-07-06 21:16:01.012410-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x101605600] activating connection: mach=true listener=false peer=false name=com.apple.metal.simulator
2025-07-06 21:16:01.012770-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x101605710] activating connection: mach=true listener=false peer=false name=com.apple.metal.simulator
2025-07-06 21:16:01.014487-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.014555-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] GameViewController viewDidLoad STARTING on thread: <_NSMainThread: 0x600001704000>{number = 1, name = main}
2025-07-06 21:16:01.014613-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [ACCESS] Step 1: Checking initial game instance before any initialization on thread: <_NSMainThread: 0x600001704000>{number = 1, name = main}
2025-07-06 21:16:01.014863-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [ACCESS] GetGameInstance() called from thread: <_NSMainThread: 0x600001704000>{number = 1, name = main}, returning: 0x0
2025-07-06 21:16:01.014904-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [ACCESS] Step 1: GetGameInstance() called before initialization, returning: 0x0 on thread: <_NSMainThread: 0x600001704000>{number = 1, name = main}
2025-07-06 21:16:01.014951-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Set up touch handling
2025-07-06 21:16:01.014986-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Initializing PlatformLayer with MTKView: 0x101509890
2025-07-06 21:16:01.015203-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] PlatformLayer constructor starting
2025-07-06 21:16:01.015236-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] PlatformLayer: Metal device created: 0x10140eaf0
2025-07-06 21:16:01.015796-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] PlatformLayer: Command queue created: 0x1016085e0
2025-07-06 21:16:01.015867-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] PlatformLayer constructor completed
2025-07-06 21:16:01.015937-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.016054-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] PlatformLayer::Initialize(void* nativeView) STARTING
2025-07-06 21:16:01.016100-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] nativeView=0x101509890
2025-07-06 21:16:01.016138-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.016238-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Got MTKView: 0x101509890
2025-07-06 21:16:01.016278-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Setting up MTKView properties
2025-07-06 21:16:01.016331-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] MTKView device: 0x10140eaf0
2025-07-06 21:16:01.016364-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Creating PlatformLayerDelegate
2025-07-06 21:16:01.016421-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] PlatformLayerDelegate initWithView called
2025-07-06 21:16:01.016453-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] Metal device: available
2025-07-06 21:16:01.017310-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INFO] MetalFrameResources initialized with 3 frames in flight
2025-07-06 21:16:01.023264-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INFO] Mobile GPU settings updated - MaxDrawCalls: 200, MaxTextures: 100, Mipmaps: NO
2025-07-06 21:16:01.023324-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INFO] Optimized for device: Apple iOS simulator GPU (Modern GPU: NO)
2025-07-06 21:16:01.023368-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: MetalRenderer initialized successfully
2025-07-06 21:16:01.023409-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] Setting up MTKView properties
2025-07-06 21:16:01.023456-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] MetalRenderer setup complete
2025-07-06 21:16:01.023501-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [DEBUG] PlatformLayerDelegate initialization complete
2025-07-06 21:16:01.023531-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] PlatformLayerDelegate created: 0x600002108ff0
2025-07-06 21:16:01.023561-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.023590-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] PlatformLayer::Initialize(void* nativeView) COMPLETED
2025-07-06 21:16:01.023618-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] m_View=0x101509890, m_Delegate=0x600002108ff0
2025-07-06 21:16:01.023673-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.023700-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] PlatformLayer initialized successfully
2025-07-06 21:16:01.024249-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] UIManager initialized with safe area: 393x852
2025-07-06 21:16:01.024286-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Step 2: Starting synchronous game initialization on main thread: <_NSMainThread: 0x600001704000>{number = 1, name = main}
2025-07-06 21:16:01.024319-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.024344-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] game_main() STARTING (iOS version)
2025-07-06 21:16:01.024375-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] argc=0
2025-07-06 21:16:01.024401-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] ========================================
2025-07-06 21:16:01.024431-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Skipping working directory setup for iOS
2025-07-06 21:16:01.024458-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Seeded random number generator
2025-07-06 21:16:01.024486-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] PlatformLayer already initialized by GameViewController
2025-07-06 21:16:01.024519-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] About to create Game instance and set it.
2025-07-06 21:16:01.024545-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Creating Game instance...
2025-07-06 21:16:01.024940-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Game instance created successfully: 0x600003b000e0
2025-07-06 21:16:01.024971-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [ACCESS] SetGameInstance() called from thread: <_NSMainThread: 0x600001704000>{number = 1, name = main}, with instance: 0x600003b000e0
2025-07-06 21:16:01.024999-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Game instance created and set: 0x600003b000e0
2025-07-06 21:16:01.025025-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Initializing Game instance - STARTING
2025-07-06 21:16:01.025052-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: [INIT] Calling Game::Initialize() on instance: 0x600003b000e0
